,size,tr_nrmse,tr_rmse,ts_nrmse,ts_rmse
0,6,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0
7,6,0.0,0.0,0.0,0.0
8,6,0.0,0.0,0.0,0.0
9,6,0.0,0.0,0.0,0.0
10,2,0.0,0.0,0.0,0.0
11,2,0.0,0.0,0.0,0.0
12,6,0.0,0.0,0.0,0.0
13,6,0.0,0.0,0.0,0.0
14,5,0.0,0.0,0.0,0.0
15,2,0.0,0.0,0.0,0.0
16,2,0.0,0.0,0.0,0.0
17,2,0.0,0.0,0.0,0.0
18,2,0.0,0.0,0.0,0.0
19,2,0.0,0.0,0.0,0.0
20,5,0.0,0.0,0.0,0.0
21,6,0.0,0.0,0.0,0.0
22,2,0.0,0.0,0.0,0.0
23,2,0.0,0.0,0.0,0.0
24,6,0.0,0.0,0.0,0.0
25,6,0.0,0.0,0.0,0.0
26,2,0.0,0.0,0.0,0.0
27,2,0.0,0.0,0.0,0.0
28,6,0.0,0.0,0.0,0.0
29,5,0.0,0.0,0.0,0.0
