,size,tr_nrmse,tr_rmse,ts_nrmse,ts_rmse
0,2,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
3,2,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0
7,6,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0
9,6,0.0,0.0,0.0,0.0
10,5,0.0,0.0,0.0,0.0
11,6,0.0,0.0,0.0,0.0
12,2,0.0,0.0,0.0,0.0
13,2,0.0,0.0,0.0,0.0
14,6,0.0,0.0,0.0,0.0
15,2,0.0,0.0,0.0,0.0
16,2,0.0,0.0,0.0,0.0
17,5,0.0,0.0,0.0,0.0
18,13,0.0,0.0,0.0,0.0
19,5,0.0,0.0,0.0,0.0
20,2,0.0,0.0,0.0,0.0
21,6,0.0,0.0,0.0,0.0
22,2,0.0,0.0,0.0,0.0
23,5,0.0,0.0,0.0,0.0
24,5,0.0,0.0,0.0,0.0
25,7,0.0,0.0,0.0,0.0
26,11,0.0,0.0,0.0,0.0
27,6,0.0,0.0,0.0,0.0
28,2,0.0,0.0,0.0,0.0
29,2,0.0,0.0,0.0,0.0
